
============================================================
[DP Calibration]
  Target ε     = 8.0
  Target δ     = 1e-05
  Num rounds   = 25
  Sampling q   = 0.600 (3/5 clients)
  → Calibrated σ = 1.6701
============================================================

[Verification] σ=1.6701 → ε=8.0089 at α=3.0
               δ=1e-05, rounds=25, q=0.600

!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>

[DP-FedRAG] Starting training with formal privacy guarantee...
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-Client 2] step 0/22, C=2.3358, σ=1.6700732421874998, ‖∇‖=5102.3577
[DP-Client 2] step 4/22, C=2.3358, σ=1.6700732421874998, ‖∇‖=5101.8354
[DP-Client 2] step 8/22, C=2.3358, σ=1.6700732421874998, ‖∇‖=5102.5793
[DP-Client 2] step 12/22, C=2.3358, σ=1.6700732421874998, ‖∇‖=5101.4143
[DP-Client 2] step 16/22, C=2.3358, σ=1.6700732421874998, ‖∇‖=5102.2622
[DP-Client 2] step 20/22, C=2.3358, σ=1.6700732421874998, ‖∇‖=5102.4274
[DP-Client 3] step 0/16, C=3.0697, σ=1.6700732421874998, ‖∇‖=6705.5227
[DP-Client 3] step 3/16, C=3.0697, σ=1.6700732421874998, ‖∇‖=6704.4825
[DP-Client 3] step 6/16, C=3.0697, σ=1.6700732421874998, ‖∇‖=6705.6553
[DP-Client 3] step 9/16, C=3.0697, σ=1.6700732421874998, ‖∇‖=6705.7875
[DP-Client 3] step 12/16, C=3.0697, σ=1.6700732421874998, ‖∇‖=6705.2533
[DP-Client 3] step 15/16, C=3.0697, σ=1.6700732421874998, ‖∇‖=6705.0587
[DP-Client 4] step 0/50, C=3.2648, σ=1.6700732421874998, ‖∇‖=7131.4154
[DP-Client 4] step 10/50, C=3.2648, σ=1.6700732421874998, ‖∇‖=7131.4238
[DP-Client 4] step 20/50, C=3.2648, σ=1.6700732421874998, ‖∇‖=7131.3898
[DP-Client 4] step 30/50, C=3.2648, σ=1.6700732421874998, ‖∇‖=7130.9985
[DP-Client 4] step 40/50, C=3.2648, σ=1.6700732421874998, ‖∇‖=7131.0630
[DP-Client 0] step 0/11, C=1.1465, σ=1.6700732421874998, ‖∇‖=2504.7277
[DP-Client 0] step 2/11, C=1.1465, σ=1.6700732421874998, ‖∇‖=2504.2651
[DP-Client 0] step 4/11, C=1.1465, σ=1.6700732421874998, ‖∇‖=2504.4439
[DP-Client 0] step 6/11, C=1.1465, σ=1.6700732421874998, ‖∇‖=2504.5588
[DP-Client 0] step 8/11, C=1.1465, σ=1.6700732421874998, ‖∇‖=2504.3267
[DP-Client 0] step 10/11, C=1.1465, σ=1.6700732421874998, ‖∇‖=2504.2348
[DP-Client 1] step 0/16, C=2.1829, σ=1.6700732421874998, ‖∇‖=4768.5710
[DP-Client 1] step 3/16, C=2.1829, σ=1.6700732421874998, ‖∇‖=4767.8624
[DP-Client 1] step 6/16, C=2.1829, σ=1.6700732421874998, ‖∇‖=4768.4544
[DP-Client 1] step 9/16, C=2.1829, σ=1.6700732421874998, ‖∇‖=4768.4605
[DP-Client 1] step 12/16, C=2.1829, σ=1.6700732421874998, ‖∇‖=4767.8739
[DP-Client 1] step 15/16, C=2.1829, σ=1.6700732421874998, ‖∇‖=4768.9392
[DP-Client 2] step 0/22, C=1.8066, σ=1.6700732421874998, ‖∇‖=3946.9219
